Date,   Oracle,    Walmart,     Reliance,  Microsoft,      HP,    HMC,      GS,    Samsung,       Bajaj,      AXP
2015-03-01,39.841442,72.57946,384.947723,36.762642,7.667718,28.090605,174.911392,279.487152,380.210846,72.219673
2015-04-01,40.27541,69.286972,401.888184,43.977737,7.740643,28.903111,182.774353,273.474609,374.27417,71.839569
2015-05-01,40.296143,65.931358,408.715668,42.368355,7.91775,29.497892,191.865601,253.497406,390.214783,73.945137
2015-06-01,37.340408,63.363731,477.042023,40.177536,7.212493,27.929041,194.89093,245.933151,503.751892,72.090012
2015-07-01,37.006844,64.30175,477.876801,42.498096,6.955652,29.273769,191.418579,239.193115,510.035736,70.81424
2015-08-01,34.49435,57.825111,829.159302,39.604225,9.293422,27.29282,176.61438,219.815475,4760.855469,71.428711
2015-09-01,33.592228,58.318901,411.312195,40.543247,8.786419,25.922974,162.751984,228.898758,491.804077,69.017326
2015-10-01,36.121883,51.48325,452.047516,48.219536,9.741005,28.891205,175.621506,276.939209,4790.327148,68.207344
2015-11-01,36.386833,52.922333,461.301239,49.785923,9.635527,28.498783,177.981888,259.176392,5310.765137,66.95153
2015-12-01,34.108574,55.134922,483.958435,51.163593,11.143331,27.844742,169.390152,254.33194,576.022949,64.998291
2016-01-01,33.903156,60.185963,493.879974,50.803936,11.387193,23.704149,151.843048,1104.791382,5682.068359,49.998695
2016-02-01,34.483585,60.167824,461.086578,46.921478,12.060455,22.554909,140.536575,1131.69043,568.556702,52.169907
2016-03-01,38.355732,62.117802,498.554474,51.29874,11.912023,23.98488,148.179535,1260.422729,663.644348,57.63282
2016-04-01,37.371292,61.097511,478.578552,46.320259,12.701571,23.839827,154.909866,1196.056763,673.252625,61.41555
2016-05-01,37.830559,64.66996,466.476501,49.227463,12.349341,24.741774,150.539413,1241.208984,748.148376,62.024155
2016-06-01,38.517529,67.20507,471.979706,47.860149,12.15933,22.39847,140.825348,1368.980713,788.361511,57.308193
2016-07-01,38.621048,67.159058,494.260101,53.013744,12.234388,24.407499,150.521439,1533.298828,1022.601624,61.104046
2016-08-01,38.933121,65.750908,516.223877,53.743298,12.706179,27.728432,160.615585,1613.998779,1094.4729,62.16573
2016-09-01,37.10075,66.831146,527.76593,54.210018,13.398998,26.027468,153.45079,1592.0802,1049.535522,60.705921
2016-10-01,36.288464,64.885139,513.764587,56.393475,13.528457,27.027506,169.597992,1632.928345,1066.085083,62.961994
2016-11-01,38.107315,65.265091,482.158051,56.713467,11.931798,26.945961,208.657684,1739.53186,914.255737,68.633064
2016-12-01,36.457485,64.05114,1000.500366,58.877903,12.655889,26.44763,228.546448,1795.324463,838.515015,70.576584
2017-01-01,38.031471,62.288307,509.016296,61.256142,13.053419,27.119257,218.877716,8340.279297,1030.649902,72.767815
2017-02-01,40.541111,66.19883,602.934998,60.621319,12.596099,28.259876,236.764374,8124.691895,1101.520142,76.599075
2017-03-01,42.463932,67.272133,643.283264,62.780933,13.097106,27.612005,219.832596,8708.045898,1164.040894,75.690155
2017-04-01,42.7971,70.681274,679.467529,65.259361,13.125333,26.553514,214.167419,11329.008789,1268.507446,75.824097
2017-05-01,43.392559,73.896614,652.925842,66.574867,13.511094,25.485901,202.16713,11349.320313,1318.951538,73.916206
2017-06-01,47.933537,71.627495,672.065125,66.084045,15.510283,24.993155,213.064056,12070.397461,1364.823364,80.929298
2017-07-01,47.732777,75.706703,786.608398,69.698387,17.581472,25.770657,216.357483,14342.78125,1692.834229,81.880394
2017-08-01,48.296665,73.889519,787.999878,71.682907,16.588438,25.844231,214.83078,13783.351563,1775.730225,83.028412
2017-09-01,46.396656,74.420959,771.8396,71.794968,16.188688,27.187029,228.523056,15259.291016,1831.685913,87.232857
2017-10-01,48.843639,83.154503,929.933716,80.170578,14.470124,29.003893,233.619736,18957.871094,1794.365479,92.112358
2017-11-01,47.263672,92.602386,910.857666,81.124741,13.871949,31.102915,238.591217,17484.748047,1721.07019,94.58799
2017-12-01,45.548836,94.050034,910.363464,82.85923,14.7637,31.793266,246.222366,17539.818359,1750.617432,96.136856
2018-01-01,49.701023,102.061478,950.146423,92.032455,15.805956,33.147362,258.912354,1585046.125,1672.040527,96.223984
2018-02-01,49.004803,86.177803,943.474731,90.831299,15.595591,33.898788,254.118591,29240.404297,1634.570679,94.727425
2018-03-01,44.246502,85.182091,872.458435,88.824951,14.682679,32.621361,244.102844,30582.505859,1761.429932,90.618126
2018-04-01,44.169128,85.198738,952.12323,91.014671,14.441979,32.512432,230.989578,51733.824219,1901.094604,95.932037
2018-05-01,45.3717,79.496986,910.659973,96.192154,12.71857,30.052238,218.923019,49488.773438,2102.594238,95.853394
2018-06-01,42.788464,83.012039,961.167114,96.384285,15.126831,27.696129,214.532532,45535.523438,2288.398926,95.56086
2018-07-01,46.303993,86.481773,1179.468384,103.685684,15.893357,29.247049,230.931015,45480.851563,2688.55835,97.043015
2018-08-01,47.363071,92.90757,1234.81189,109.794617,14.971584,28.264517,231.300629,47644.269531,2851.601807,103.713257
2018-09-01,50.268421,91.546272,1251.022095,112.218773,15.449677,28.693779,218.824371,45677.527344,2164.206543,104.212341
2018-10-01,47.616554,97.755928,1055.405396,104.800964,13.40731,27.405558,219.927048,42008.613281,2378.381104,100.532776
2018-11-01,47.729965,95.192131,1161.119995,108.804222,14.609277,27.08823,186.084625,41463.691406,2533.259521,110.265244
2018-12-01,44.196228,90.805397,1115.074951,100.090057,14.15416,25.43428,163.675705,38342.769531,2640.521484,93.61792
2019-01-01,49.168911,93.927734,1220.391724,102.908394,13.612421,29.197186,194.01033,46150,2570.344727,100.866135
2019-02-01,51.230808,97.024994,1224.270264,110.397652,14.942144,27.449432,192.726776,45100,2644.36499,106.249207
2019-03-01,52.783554,95.593979,1355.742188,116.717896,16.286074,26.381361,188.871613,44650,3019.707031,107.787628
2019-04-01,54.37561,101.340942,1385.129517,129.246719,15.710453,27.337397,202.575333,45850,3090.532715,115.607903
2019-05-01,49.949898,99.961349,1322.824463,122.398415,15.740227,24.122389,179.525925,42500,3461.033447,113.523232
2019-06-01,56.23806,109.457817,1246.19873,133.062622,13.93,25.328016,202.18396,47000,3674.65918,122.16291
2019-07-01,55.576668,109.348846,1159.827148,135.357162,14.74,24.63891,217.530579,45350,3246.359863,123.083282
2019-08-01,51.599171,113.192604,1241.67395,136.936493,14.74,23.430733,201.502106,44000,3332.5,119.4972
2019-09-01,54.542877,118.150047,1332.25,138.558517,14.609277,25.827284,206.06813,49050,4046.050049,117.422356
2019-10-01,54.00766,118.568169,1464.349976,142.883804,14.15416,26.969999,212.183655,50400,4027.550049,116.429604
2019-11-01,55.891224,118.558212,1551.150024,150.866638,13.612421,28.120001,220.108978,50300,4074.199951,119.705101
2019-12-01,52.745228,118.309326,1514.050049,157.699997,14.942144,28.309999,229.929993,55800,4234.75,124.059998
2020-01-01,52.217579,114.489998,1411.650024,170.229996,16.286074,25.6,237.75,56400,4365.899902,129.421417
2020-02-01,54.542877,116.449997,1433.650024,183.889999,15.710453,26.49,238,60400,4654.299805,131.820007
2020-02-07,54.00766,116.449997,1433.650024,183.889999,15.740227,26.49,238,60400,4654.299805,131.820007
