"Asian Paints","Wipro","Titan","SBI","L&T","Infosys","ICICI","CoalIndia","Bajaj Finance","Axis Bank"
493.75,561.8,230.25,1774,1075,3491,1102,294.05,1575,1303.05
503.9,553,231.85,1766.9,1067.3,3466.4,1097,292.85,1580,1297
482.6,550.4,226.9,1730,1023,3471,1063,283,1570.9,1260
491.7,558.4,228.9,1720,1015,3580,1066,279,1574,1261.9
492,558.7,230.4,1695,1015,3510,1044.9,278.7,1555,1260
491.1,550.2,226.3,1665,1023.15,3466,1059,278.25,1555,1248
490,547,224,1654.9,1000,3435.6,1060,291.95,1545,1209.7
492,543.1,223.95,1639.9,974,3494,1050.75,296,1552,1191
500,555,221.25,1614,957,3572,1028.85,290,1561,1176
494,562.5,220.8,1634,981.3,3636,1054.9,294,1565,1185
489,555,221.3,1635,975.1,3685.1,1041.5,301.3,1557,1182.35
495,561,218.25,1645,1005,3704,1068,297.5,1554.85,1187.9
496.6,574.9,218,1632.65,1002.8,3725,1050.1,275,1575,1182
493,552.6,216.85,1622.95,1001,3712,1035,272.9,1561,1148
475.05,573.3,216,1652.6,1005.5,3745,1050.25,270,1575,1168
485,572,218.5,1657,1011.05,3735,1080,262,1599,1189
474,577.4,217,1640,1010,3770,1091,261,1570,1187
472,576,226.45,1649.45,1022.1,3769.05,1068,259,1560.05,1206
474.1,571,217.95,1600,994.7,3718,1036,257,1545,1181
478.55,567,216.45,1600,974,3718.15,1011.55,248.95,1519.9,1163
478.35,568,219,1611.35,990.15,3669.9,1030,249.9,1549.45,1129.7
480,570.6,207,1559.6,979,3696.25,985,248.5,1502,1116
478.9,571.3,221.5,1533.8,983,3704,984,246.15,1505,1118.9
476.9,574,221.55,1530,986.5,3685,984.3,246.5,1525,1117
470,560.2,218,1475,969.45,3588.1,950,243.9,1500,1113
476.1,559,224.7,1519.7,984,3576.1,974.8,249.05,1482.3,1127.8
485,563,222,1521.9,987.8,3566.55,969.85,253.9,1500,1127.9
484.1,569,226.9,1521,982.2,3580,970,268.8,1491,1123
494,564.4,225.95,1534.7,985.3,3570.3,966,269,1492.6,1134.7
489.95,563.8,233,1514,997,3569,964.95,269.25,1500,1128.65
477.25,565,234.1,1529,998,3606,977,267.9,1479,1133.15
477,563,226.5,1536,1011.2,3600,1001,269.8,1480,1125
470,562.5,230.8,1504,991,3596,986,260.3,1490,1106.5
473.85,566,233.4,1476,996.2,3670.25,990,260,1480,1111
475,562.7,231.3,1472,999,3652,1011,255.55,1510,1112.25
473.5,559,228.8,1500,1018.1,3689,1033.5,256.75,1552,1164.5
468,564,233,1500,1021.3,3750,1016,253.6,1535,1158
465,567.5,234.25,1485,1034.65,3728,1013.75,253.3,1509.95,1161
465,574.75,234,1506,1051,3745,1021,251.2,1522.8,1187.8
472,579.5,237,1518.7,1085.5,3751.5,1040.25,252.8,1540,1237.5
472,595.2,244.3,1509.2,1081.35,3779.5,1034,245.7,1525,1238
478.8,603.8,246.65,1526.25,1092,3779,1040.5,244.5,1559.8,1239
472.1,595,243.2,1530,1101.1,3823,1039.4,244.5,1577.3,1260
474.15,585.1,250,1517.1,1096,3764,1033.25,245,1570,1259
476.3,591.2,254.3,1560,1117.2,3821,1073,248.6,1585.7,1296
476.6,590.85,245.05,1583.5,1123,3832,1103.2,251.7,1550,1307
475.9,586.7,248.45,1585,1144.3,3825,1136,258,1613,1326
486.8,564.9,255,1650,1185,3726.15,1182,263,1644.95,1392.1
486.5,558.7,250.25,1690,1235.4,3667,1195,258,1662.35,1422
485,560.25,248,1663,1225,3680,1192.25,254.75,1694.8,1410
500,563.9,255,1650.5,1216.3,3430.2,1210.7,260,1700,1406
492,562,251.7,1641,1218.8,3357.5,1203,264.5,1640,1371
496.55,549.7,254.2,1652.15,1250.55,3397.95,1212.2,265.25,1655,1360
497.45,540.9,255.9,1711,1239,3360,1210,270.6,1665.75,1354
511,546,256.85,1703.25,1237.6,3275,1206,263,1665,1367.7
513,558,255.5,1692.05,1224.1,3330,1209.75,262,1655,1335
508,568,255,1701,1215.3,3304,1193,263.2,1675,1394.85
508.4,571,254.95,1714.5,1225,3280,1204.5,263.4,1685,1404
523.1,559.8,253,1730,1226.3,3257,1239.4,266,1665,1415
528,551.6,255,1752.3,1251,3264.95,1265.3,274.3,1650,1415
532,546,250.9,1776,1270,3246,1253.25,279.9,1680,1433.3
539,552.1,255,1852.6,1286,3232.25,1266,281,1689,1431.3
539,554,255,1913,1290,3275,1270.15,287,1790,1466
548,548,265.55,1932.3,1267.6,3285,1245,289.9,1786,1465
539.6,563.7,265,1915,1289.9,3344,1231,291,1800,1459.5
524.5,566,267,1929,1296,3332,1242.15,287,1750,1465
539,562.1,268.25,1900,1289.6,3343,1232,282,1745,1433.7
528,550.75,268.7,1880.1,1300,3310,1225,293,1766,1353.4
540,558,265.4,1920.25,1287,3300,1210,283.6,1780.2,1425
543.15,554,261.5,1991.6,1300,3264,1251,287,1760,1490
540.1,558.05,262.4,2020,1307.8,3190.25,1238,289,1797.25,1488.9
543.75,565,262,1997,1294,3347,1236.35,293,1760,1495.1
535.9,595,259.9,1965.25,1294.7,3257,1216.7,291.1,1770,1446.1
535,575.1,257.3,1966.35,1256.25,3175,1236.25,290,1775,1435
543,568.4,255,2020.1,1271.3,3202,1265,290,1770,1465.1
542,548,260,2072,1320,3179.4,1281,296,1776.7,1501
535,534.85,261,2045,1352,3165.3,1276,300.9,1762.9,1504
532.95,530,255,2060,1376,3180,1300,302,1821,1518
513.05,521,256.9,2082,1341,3172.7,1270,298,1825,1545
501,532,259,2111,1333.6,3172.5,1275,295,1850,1532
501.9,529,259.9,2076.9,1330.4,3182.75,1262,298,1855,1528.1
509,519.95,256,2090,1306.4,3182.5,1252,292,1880.5,1522
511.9,526,259,2055.05,1263.3,3190,1254,296,1878,1532.1
520,519.05,264,2053.25,1292.25,3175.5,1260.1,296.65,1874,1556
514.5,511.8,277.1,2051.75,1295.3,3151,1273.9,295.25,1879.85,1530
506.5,507,274,2078.1,1308.5,3070,1272,295,1885,1541
504,512,275.55,2085.45,1299.75,3062.95,1290,294.3,1890,1554
525,514.7,277,2181.5,1350,3120,1378.25,310,1903.7,1641
540,515,286,2274,1400,3180.05,1413.1,336.7,1900,1666
545,530,294.3,2284.9,1415,3235,1398.9,333,1875,1647
562,527.4,306,2286.65,1398,3245.25,1410,342.9,1805,1640
542,519.8,320,2337,1436.2,3275,1436,354,1776.35,1734.8
538.6,504,308.05,2444,1436.35,3201,1487.3,350,1790,1772
528,486,308.5,2604,1532.5,3053.1,1480,391.1,1805,1865
529.6,496,315.5,2526,1510,3117,1450.25,366.7,1795,1855
550,493,341.15,2471,1490.2,3155.5,1443.8,378.2,1845,1826
537.4,484.1,333.65,2520,1486,3122,1457,398.7,2050,1844.1
541,494.1,329.15,2815.25,1540,3085,1466,406,2022,1870
526,509,320.5,2703,1550,3100,1448.6,405,2010,1869.9
525.25,509.05,321.7,2635,1570.3,3130,1448,393.4,1969.3,1851
510,513,315.6,2605.1,1577,3040,1456,381,1960,1855
506,502,313.05,2604.8,1556,2945,1440,372.8,1989.9,1860
507,506.15,311,2547.3,1612.25,2950,1414,370.5,2003.8,1834.8
512,503,316.75,2660,1650.3,3002.25,1462.4,376.9,2091.2,1905
510.65,499.8,322,2625,1660,3010,1462,394,2120,1899
510.5,495,321,2682,1675,2993.25,1450.3,392.7,2125,1925
510.5,503,323.1,2720.75,1691.3,3009,1471,393.5,2170,1950
508.7,508,329.85,2750,1700,3010.1,1490,394,2150,1986
530,513,327,2710.05,1752.15,2999,1491,416.4,2170,1970
539,527.7,344.95,2683,1737,3099,1481,422.85,2099,1935.05
541.9,534.7,331.65,2698.8,1722,3276,1477.9,406,2010,1928.65
549.9,534,330,2703.9,1729,3186,1471,395.1,2064,1895
537.4,531.5,321.9,2609,1690,3192,1428,389.35,2069.3,1818
543,537,323,2564.9,1638,3255,1416,390.1,2000,1771
563.4,537,323.9,2638.7,1687.8,3259,1450,402.8,1987.7,1840
563,531,315.9,2659.9,1680.3,3248,1433,397,2132.2,1855
570,540,326,2607,1661.25,3320,1415,382,2080,1838
568,539,336,2590,1651.3,3312,1399,386.45,2051.9,1868
574,532.1,328.85,2606,1664.3,3232,1421.05,389.55,2064,1885
580,531.7,339.9,2660.05,1675,3242.1,1438,394,2046.4,1928
587.95,529,345,2691,1653.1,3211,1419,400,2094.9,1909
585,537.05,347.75,2656,1674.1,3186,1406,392,2001.3,1928
584.8,550,355,2641.3,1672.6,3215.5,1390,383,2012.1,1934
592,547,352.7,2698.3,1707.4,3246,1422.1,388,2049,1925
586.6,541,357.35,2700,1742.3,3220.1,1451.35,389.75,2008.55,1946.6
586.7,545.65,362,2701.9,1755.6,3214.8,1452.3,394.55,2086,1925
584.95,559,360.1,2696,1755,3208,1455,397,2150.9,1926
590,549.5,358,2700.6,1746.25,3255.55,1463.05,396,2300,1940
595,560,358,2684.95,1752.3,3345,1457.55,397,2240,1923
590,550,341.5,2585,1686,3341,1413,378.5,2150.05,1880
595,546,350,2587,1661.3,3310,1408,366,2180,1871
585,554,333.65,2538,1660,3410,1392,373,2210,1875
571,554.9,328.8,2425,1580,3330,1370.2,364,2149,1819.1
593.55,539,322,2427.9,1614.9,3250,1360.5,362.5,2150,1857.5
580,540.05,325,2535,1642.3,3230,1408.05,366.5,2200,1916
586,537,328.05,2558,1658,3231,1459,363.7,2220,1967
582,542,355,2587.55,1658.8,3240,1439,375,2210,1950
589,550.3,330,2571,1699,3250,1484.9,376,2196.9,2018
599.5,548,331.4,2526,1671.6,3206,1486,380,2173.15,2037
606,561,338.5,2541,1660.55,3245,1492,390,2233.3,2016
604.85,574.4,341.9,2549,1657.7,3348,1507,384.6,2247.4,2005.5
618,528,336,2551,1665.5,3382,1503,385,2300,1998
638.15,553,332.7,2509.9,1660.6,3350,1480,378.65,2274.85,2015
635,556,335.4,2500,1588,3392.6,1451.5,364,2220,2000
643.9,551.7,342.6,2459,1530,3369.5,1492,368.5,2215,2010.5
617,544.9,338.9,2415.9,1490,3360,1461,366.8,2219.95,1945
627,537,328.9,2452.25,1476.2,3351,1498.95,359.5,2220,1955
630,550,342.3,2472.2,1500,3465,1495,362,2190,1964.75
630.1,548.8,340,2456,1489.7,3520.3,1479,360.9,2193.95,1955
639.4,544.5,343.3,2424,1497,3500,1447,359,2187.5,1915
630,550.1,341.9,2413.8,1467.5,3495.05,1433,359.8,2170,1875
620.9,551.1,342,2431,1454.6,3507.5,1443.35,358.1,2220,1875.5
617.25,543,342.9,2419.9,1467.55,3591,1450,359.9,2250,1890
615,545.4,347,2422.25,1477.8,3567,1460,365.1,2261.5,1900
617.85,550.75,344.3,2374.15,1462.55,3600,1461,356.55,2240,1871.25
620,545,350.7,2360.5,1484.65,3600,1485,355.8,2270,1894
620.95,547.9,350.95,2435.3,1525.2,3555,1538.1,365,2290,1985
617.85,548.5,349.1,2442.8,1532,3551.25,1546.2,369.7,2281.3,1997
614,551.2,347.6,2417.9,1519.7,3550.1,1540.7,366.45,2290,1985
617.35,552,370,2477.1,1537.2,3548,1544,365,2320,2001.5
613,560,362,2529,1544.6,3605,1540,359,2390,2014.5
605,555.5,359.9,2499.9,1523.8,3627,1485,360.15,2400,1955
610.05,549.8,366,2515,1515.35,3625,1521.15,357,2450,2000
620,559,365.8,2514,1507.2,3635,1545,359.1,2470,2005
628.9,570,365,2475,1535,3605.25,1553,358,2479.9,1995
629,566.1,372.1,2510.35,1578.8,3596,1598,366,2442.7,2035
630.05,562,388,2524,1586,3600,1600,364.8,2432.5,2050
628.1,577.4,383.5,2499.1,1600,3730,1584.7,377,2480,2065
635,580,386,2482.1,1589.5,3722,1572,378.95,2452,2085
650,579.9,389,2530.35,1621.3,3740,1555,365.5,2446,2094.75
676,594,385.85,2565,1628.55,3750,1566.9,376,2580,2105
661.15,589,395.5,2555,1596.7,3719.9,1561,382.2,2600,2090
660,583,388.7,2561,1590.2,3675,1576,374,2587,2092.5
657,576,382.1,2607.1,1597.3,3690,1572.05,362.15,2623,2095
672.2,575.9,388,2610,1568.8,3670,1560,358,2610,2078.25
665.85,568.6,382,2630,1565.1,3670,1552.5,352,2590,2060
650,561.15,379,2581.2,1532.8,3675.2,1531.05,346,2550.25,2000
645.05,567.8,371,2551,1513,3684,1526.5,340,2485,1982.5
660,582,387.5,2625.7,1578.25,3700,1567.2,344.9,2573.45,2031.5
670,586,386,2552.9,1527,3685,1565,343,2705.05,2024
665.25,580,397.1,2602.1,1527,3655,1577,345,2660,2050.25
635.95,590,394.8,2555,1499.95,3615,1534,336,2660,2019.75
646.95,594,398,2497.9,1473.8,3660,1517,360,2619,1975
619.55,584.9,387.7,2363.85,1439.8,3688,1470,345,2520,1889.5
631.8,589.65,392.7,2450,1476.5,3690,1485,347.3,2540,1963.25
630,594.2,397,2441.7,1466.8,3750,1458,342.9,2660,1939.5
631.1,598,409.75,2445,1460,3750,1440.35,342.55,2705,1885
631.45,615,404.3,2411,1439.8,3770,1422,343,2790,1905
627.7,617.75,398,2349,1405,3774,1433,339.95,2706.2,1869.75
640,594,403.9,2428.8,1462,3700,1456,339,2695,1919.5
650.55,588.1,400,2455.05,1470,3685,1475,343,2755,1920
663.45,585,395.35,2440,1455,3898,1450,336,2720,1889
659.25,587.15,396.7,2501.1,1452.5,3961.5,1485.55,342.55,2726.5,1953
647,580,388,2507.5,1430,3909,1470,344,2700.05,1990
634,573.5,370.25,2483,1430.65,3866,1468,349.85,2669.9,1980
643,567.4,388,2568,1477.3,3868,1541.1,357.9,2590,2062.5
660.05,559.9,386.7,2577.55,1496.55,3850,1542,363,2649.95,2098.25
651,583,393,2610,1530.2,3801.1,1590,355.55,2655.7,2130
652.65,562.35,395.1,2588.55,1560.7,3800,1580,356,2720,2139.25
654.2,550,396.7,2595,1565,3838,1581.5,352,2740,2125
651.05,556,400.2,2603,1577.4,3751.1,1576.55,354,2837,2135
652,556.5,406.25,2675.1,1584,3804.05,1610,356.5,2820.3,2135.5
646,558.85,411.9,2645.3,1577,3890,1602.7,358.4,2750,2130
648.95,563.5,412,2653,1602.1,3973.05,1613.9,361,2800,2160
660,566,395,2705,1660.3,4075,1628,372,2780,2205
656.3,567.65,386.55,2730,1661.2,4079.9,1650.3,360,2780.9,2223.5
659,560.1,376.15,2780,1670,4126,1675,347,2850,2299.5
650.75,553.45,378.25,2753.5,1624,4169,1685.4,340.05,2887.85,2358.25
650,560.3,379.05,2739,1622.35,4165.5,1667,350.1,2887.6,2310
657.7,556.9,375,2752,1640,4121.1,1691,345.65,2910,2350
647.35,559.7,380.5,2760,1620,4111,1710.1,345,2998.15,2410.5
646.15,558.1,377,2730,1619,4191.05,1689.8,343.9,2960,2370
677,563.85,371,2795.7,1621.2,4180,1689.7,356,2981,2383.5
692.25,562.55,376.2,2955,1619,4220,1675,353.1,3270,2379
700.75,568.65,370.6,2950,1648,4182,1681,353.9,3182.45,2370
685,570,366.05,2944,1661.55,4182,1683,346,3051.5,2348.75
691.65,572.6,359.3,3000,1640,4201,1690,344.3,3130,2326.25
693,573,370,3086,1672.3,4200,1740.1,345.05,3130,2390
694.7,582,371.8,3095.5,1671.5,4297.7,1774,345.2,3060,2366
696,583,365.6,3049.5,1630.2,4305,1727,347,3020,2351
705,584,368,3063,1637.25,4318,1714.9,350,3010,2350
715,585.1,365.2,3078.5,1626.3,4377,1725.5,348.1,3055,2355
754,588,400,3230,1637.7,4388,1761.1,354.9,3100,2415
799.9,590.05,391.9,3195.5,1617.8,4330,1757.9,353.7,3077.5,2445
776.1,590,389,3198,1645,4207.6,1768.7,356,3100,2470
792,592.3,388.7,3196,1641.35,4250,1766.59615384615,358.4,3117.5,2500
793,591,386,3200,1634,4214.4,1770,355.5,3140,2505
786.05,578,387.05,3180,1630,4024,1763.43543956044,358,3193,2495
798,569,380.3,3134,1602,3970,1726.23626373626,364.8,3265,2484.25
782,557,372,3030,1550,3930,1696.08791208791,361.5,3232.85,2441.5
778.9,552.9,385.7,3138,1543.9,3920,1715.0521978022,360.2,3210,2447.5
776.8,547.2,384.5,3145,1543.3,3864.5,1691.46840659341,365,3310,2460
767.3,538.45,372.95,3089,1508,3818.8,1668.37087912088,364,3281.1,2400
766.95,540,365.3,3087,1492,3850,1663.02197802198,377,3340,2366.5
755.1,542,358.7,2950,1478.7,3842,1604.67032967033,365.9,3209.8,2345
741,541,370,3104,1492.2,3897.1,1658.15934065934,368.2,3249.95,2425
756.6,543,382.8,3114,1516.3,3980.4,1694.62912087912,369.9,3325,2471.5
733.1,552.6,377,3060,1537.3,4004.5,1733.53021978022,378,3317,2460
748.75,555.3,384,3078,1527.55,4000,1744.47115384615,392,3320,2495
741,555,375,3070,1497,3943.4,1716.51098901099,383.7,3470,2478.25
731.5,547,372,3064,1482.55,3884,1721.37362637363,379.9,3440,2466.25
728,548,368.2,3085,1495.35,3904.2,1701.92307692308,378.5,3475,2476
760.25,550,375.5,3076,1501.55,3930,1709.7032967033,387,3472.15,2475
749,551.5,377.6,3100,1491.25,3918,1706.78571428571,383.05,3440,2499.75
750,553,381.25,3120,1493.4,3935.6,1728.42445054945,384,3503.2,2510
752,552.1,379.8,3148,1502,3950,1711.64835164835,380,3496.65,2515
781,558.5,382.8,3169,1542.3,4029.4,1774.86263736264,380,3460,2593
771,562.4,385.8,3100,1540.9,3969.8,1750.54945054945,374.9,3433.5,2570
760.35,545,375,3000,1500,3914.2,1681.5,381,3420,2495
782,558.5,375.15,3051,1514,3965,1677.12362637363,382,3509.25,2515
826.25,547.5,375.2,3070,1519,3970,1701.43681318681,380.15,3501.45,2530
817.05,552.45,375.4,3040,1503.7,4190.1,1672.50412087912,374.05,3452.45,2482
810,557,378,3075,1540.35,4228.8,1688.55082417582,359,3464,2512.25
835.1,564,373.05,3048,1524.7,4190,1653.2967032967,362.15,3500,2517.5
846.55,560,372.7,3208,1550.25,4288,1712.62087912088,370,3801.5,2624.75
843.55,560,378,3206.5,1580,4280.4,1715.78159340659,366.7,3825.1,2589
848.8,588,390,3165.5,1602.55,4236,1723.80494505495,378,3974,2599.75
835,587,397,3141.5,1617.3,4204.8,1753.9532967033,379,3840,2650.5
840.1,591,395,3193,1632.3,4252.4,1781.91346153846,384,3907.95,2765
856.9,588.55,408.5,3260,1656.3,4338,1794.31318681319,393,3825,2737.75
870,598,402.25,3280,1675.4,4400,1823.48901098901,397,3860,2850.25
869.7,600.1,400,3297,1720,4428.1,1823.48901098901,392.5,3865,2875
894.95,598,407,3301.5,1740,4293.1,1862.39010989011,383,4120.5,2961.5
914.35,607.5,434,3328,1695,4270.4,1852.66483516484,367,4310,2949.5
892,605,443.7,3290,1730,4304,1862.39010989011,362,4184.3,3010
856,610,431.8,3099.5,1695,4280,1755.41208791209,353.05,4045,2943.5
810,624.5,434.5,3110,1740.6,4280,1710.91895604396,355.9,4171.6,3110
818,624.4,433.25,3030,1725.65,4256,1689.52335164835,356.5,4180,2960
812.05,619,432.65,2935,1693.5,4288,1662.04945054945,366,4150.5,2810
814.5,638,424.6,2915,1680,4386,1633.84615384615,369.7,4101.05,2854.5
794,641.4,415.65,2900,1673.3,4458.7,1598.3489010989,362,4012.35,2775
800,647,413.1,2780,1550.8,4489.8,1554.0989010989,358,3978,2743.5
830,645,426,2905,1586.1,4550,1625.8228021978,369,4026.05,2786.75
843,640.15,429,2885,1620,4560,1643.57142857143,372.55,4122.55,2857.5
827,646.9,425.7,2876,1660.35,4622,1670.8021978022,364.55,4150,2910
832.9,661.2,430,3109,1663,4562,1689.76648351648,379,4216.75,2910.25
838.25,663,419,3072,1650,4568,1648.43406593407,379,4325.35,2859.5
825,669,431.8,3067,1670,4608,1665.4532967033,380.9,4319.7,2860.25
833.5,660,433,3023,1705,4648,1633.60302197802,384.7,4320,2834
826,652,435.1,3033.5,1682.35,4607.9,1619.50137362637,383.3,4220,2815
811.95,645,423.65,2976,1690.3,4552.1,1605.15659340659,387.95,4171,2751.75
807,659,423.4,2980,1725,4580,1590.08241758242,387.7,4139,2766.25
816.1,664,423.45,2979,1701.1,4629.8,1580.60027472527,386.9,4096.75,2760.5
798.3,657,424.9,2919.5,1701,4534.5,1575.49450549451,385,4100.05,2770
815,660,440.05,3055,1778,4540,1654.26923076923,398.8,4099.25,2875
824,659.7,420,3053,1780.4,4600,1706.78571428571,397.1,4449.95,3135
830,664.65,412.2,3040,1850,4582,1695.60164835165,374,4400,3248.5
842.55,673.05,419.7,3132,1865,4598,1750.54945054945,380.15,4384.05,3252
835,660.85,411,2945,1846,4536.8,1686.8489010989,372.5,4334.1,3067
833.65,664,403.55,2925,1814.6,4510,1671.77472527473,363,4351.5,3050.25
814,662,400.2,2914,1773.5,4400,1619.01510989011,358,4250,2957.5
815.55,655.65,407,2885.5,1765,4380,1619.25824175824,370,4179.75,2926.5
814,657.9,400,2881,1752,4369.8,1641.14010989011,369.85,4170.85,2940
807,662,404.95,2900,1766.55,4452.2,1677.60989010989,368.95,4150,2945.25
810,642,401.2,2829.5,1699,4420,1601.75274725275,366.55,4105,2850
839.85,650,398,2833.5,1698,4520.4,1622.66208791209,366.6,4035,2874.5
834,644.85,404,2842.5,1721.3,4500,1619.25824175824,362,4040,2920
825,634.2,401.3,2901.5,1716.1,4454,1653.2967032967,365.1,4075,2935
830.15,635,405.6,2815.5,1678,4466,1599.80769230769,368.9,4065.8,2813.5
813,652.1,395.5,2800,1677.3,4504,1564.31043956044,368,4012.8,2804.5
812,640.15,390.3,2748,1675,4460,1514.71153846154,368.25,4030,2775
815,652.5,388,2710,1675,4434.6,1517.14285714286,370.3,3952,2800
806.55,650.25,388,2650,1622,4424,1510.82142857143,360,3947.7,2799.5
796,634,391.6,2586.5,1647,4328,1517.38598901099,355,3973.1,2740
780,625,393.1,2663,1690,4428,1539.02472527473,352,4000,2760
810,625,392.25,2693,1735,4487.2,1557.25961538462,360,4010,2831
808,625.35,391.4,2669,1724.9,4418.8,1531.73076923077,363,4100,2789
821.05,629,393,2750,1737,4356,1580.35714285714,365,4160,2851.25
829,622,405.95,2751,1770,4360,1565.76923076923,360.25,4259.35,2850
840,615.6,406,2718,1776.1,4351,1550.20879120879,364.1,4380,2805.25
851,620,410,2745,1787.3,4420,1548.26373626374,384,4480,2775
854.65,618.5,400,2810,1780,4420,1553.61263736264,386,4520.55,2865
860,618,402,2880,1780,4470,1553.85576923077,389,4500,2847.5
861,621,415,2870,1808.9,4477.8,1546.80494505495,392,4425.1,2830
840.1,607.1,413,2900,1789.95,4430,1541.21291208791,385,4452.35,2764
825.1,598,402.4,2918,1764.9,4376,1527.3543956044,381.55,4589.85,2753.5
818,584,397.5,2909.5,1745,4362,1517.62912087912,382,4505.65,2675
811,570,401.95,2870,1701.05,4276,1517.14285714286,372,4550,2600
800,561.7,395,2900.5,1699.9,4292.3,1520.30357142857,373.1,4319.15,2631.75
795,547,397,2851,1748.8,4290.6,1524.43681318681,381.5,4311.35,2706.5
790,535,402.5,2790,1730,4262,1517.14285714286,384,4240,2690
773.1,530,393,2765,1683.8,4002,1525.40934065934,376.45,4103,2648.5
749.8,532,386.4,2680,1665,3976,1478.24175824176,375.55,3941.75,2625
766,534,386,2720,1663.7,3930,1590.81181318681,372,4008,2684.75
756,541,380,2715,1657.9,3920,1609.53296703297,369.9,3999,2810
779,545,383.05,2740,1650,3922,1614.3956043956,364.9,4002.05,2855
779.5,544.3,386.5,2775,1635.1,4000,1609.0467032967,369.7,4344.95,2850
779.95,543.5,384.1,2719,1643,3958,1597.37637362637,364,4255,2820
750,531.35,388,2640,1564.65,3857.6,1526.86813186813,358,4325.5,2715
770,544,340.3,2641,1589.65,3927.8,1509.36263736264,361.1,4214,2670
764,542,353,2647,1607,3930.2,1551.66758241758,364,4331,2730
775,542,369.2,2759,1617.8,3997.8,1573.06318681319,373,4362.65,2766
758.8,545,362.8,2695.5,1566.3,3908,1507.66071428571,368.95,4330,2689.5
764,542.25,366,2739,1588,3920,1549.72252747253,369,4326.5,2790
800,537.1,363.3,2822,1586.65,3870.2,1532.21703296703,370.5,4400,2790
799.95,540,367.95,2897,1594.65,3928.4,1527.59752747253,366.2,4492.75,2824.75
759,545.4,373.8,2898,1612.8,3978,1529.78571428571,368,4468.4,2835
776,554.4,377.8,2900,1625.05,4067.1,1540.48351648352,364.15,4520,2815
773.5,564,370.2,2944,1620.35,4098,1556.04395604396,362,4520,2804.5
775.45,563,374,2923.5,1637,4090,1527.11126373626,375,4565.85,2860
775.9,560,369,2800,1652,4100,1517.14285714286,375,4515,2840
765,567,369,2800,1635,4042,1520.5467032967,370,4675,2800.25
765.8,557,368,2769,1616.1,4030,1503.04120879121,374.2,4498,2805
765,555.1,370,2802,1638.8,3960,1531.73076923077,383,4450,2889.25
762.3,555,385,2780,1630,4034,1543.64423076923,383.5,4431.6,2875.5
787,563,379.65,2790,1665,4060,1545.34615384615,390,4274.9,2930
789,564,376.7,2785,1708.2,4090,1541.45604395604,392,4424,2907.5
764.75,554.6,369.7,2671.5,1675,4040,1483.1043956044,382,4252.8,2774
771.35,549.3,369.3,2600,1664,4062,1422.0782967033,387,4275.1,2797.5
759.6,554.4,360,2574,1657,4078,1424.50961538462,391.1,4399,2785
